alpha|theta
7.00|50
7.00|51
6.9|52
6.9|53
6.8|54
6.9|55
6.8|56
6.7|57
6.7|58
6.6|59
6.5|60
6.4|60
6.3|61
6.2|61
6.2|62
6.1|63
6.0|64
5.9|65
5.8|65
5.7|66
5.6|67
5.5|67
5.4|68
5.3|69
5.2|69
5.1|69
5.0|70
4.9|71
4.8|71
4.7|72
4.6|72
4.5|73
4.4|73
4.3|74
4.2|74
4.1|74
4.0|75
3.9|75
3.8|76
3.7|76
3.6|77
3.5|77
3.4|77
3.3|78
3.2|78
3.1|78
3.0|79
2.9|79
2.8|80
2.7|80
2.6|80
2.5|81
2.4|81
2.3|81
2.2|82
2.1|82
2.0|83
1.9|83
1.8|83
1.7|83
1.6|84
1.5|84
1.4|85
1.3|85
1.2|85
1.1|86
1.0|87
0.9|87
0.8|87
0.7|87
0.6|87
0.5|88
0.4|88
0.3|89
0.2|89
0.1|89
0.0|90
-0.1|91
-0.2|91
-0.3|92
-0.4|92
-0.5|93
-0.6|93
-0.7|94
-0.8|94
-0.9|94
-1.0|95
-1.1|95
-1.2|95
-1.3|96
-1.4|96
-1.5|96
-1.6|97
-1.7|97
-1.8|97
-1.9|98
-2.0|98
-2.1|98
-2.2|98
-2.3|98
-2.4|99
-2.5|100
-2.6|100
-2.7|100
-2.8|101
-2.9|101
-3.0|102
-3.1|102
-3.2|102
-3.3|103
-3.4|103
-3.5|103
-3.6|104
-3.7|104
-3.8|104
-3.9|105
-4.0|105
-4.1|105
-4.2|106
-4.3|106
-4.4|106
-4.5|107
-4.6|107
-4.7|107
-4.8|108
-4.9|108
-5.0|109
-5.1|109
-5.2|109
-5.3|110
-5.4|110
-5.5|110
-5.6|111
-5.7|111
-5.7|111
-5.8|112
-5.9|112
-6.0|112
-6.1|112
-6.2|113
-6.3|113
-6.4|114
-6.5|114
-6.6|115
-6.7|115
-6.7|115
-6.8|115
-6.9|116
-7.0|116
