alpha|theta
-7.0|63
-6.9|63
-6.8|64
-6.7|64
-6.6|65
-6.5|65
-6.4|65
-6.3|66
-6.2|66
-6.1|67
-6.0|67
-5.9|68
-5.8|68
-5.7|68
-5.6|69
-5.5|69
-5.4|70
-5.3|70
-5.2|70
-5.1|71
-5.0|71
-4.9|72
-4.8|72
-4.7|73
-4.6|73
-4.5|73
-4.4|73
-4.3|74
-4.2|74
-4.1|75
-4.0|76
-3.9|76
-3.8|76
-3.7|77
-3.6|77
-3.5|77
-3.4|78
-3.3|78
-3.2|78
-3.1|79
-3.0|79
-2.9|79
-2.8|80
-2.7|80
-2.6|80
-2.5|81
-2.4|81
-2.3|81
-2.2|82
-2.1|82
-2.0|82
-1.9|83
-1.8|83
-1.7|83
-1.6|84
-1.5|84
-1.4|84
-1.3|85
-1.2|85
-1.1|85
-1.0|85
-0.9|86
-0.8|86
-0.7|86
-0.6|87
-0.5|87
-0.4|88
-0.3|88
-0.2|89
-0.1|89
0.0|90
0.1|91
0.2|91
0.3|91
0.4|92
0.5|92
0.6|93
0.7|93
0.8|94
0.9|94
1.0|94
1.1|95
1.2|95
1.3|95
1.4|95
1.5|95
1.6|97
1.7|97
1.8|97
1.9|97
2.0|98
2.1|98
2.2|98
2.3|98
2.4|99
2.5|99
2.6|99
2.7|100
2.8|100
2.9|101
3.0|101
3.1|102
3.2|102
3.3|102
3.4|103
3.5|103
3.6|103
3.7|104
3.8|104
3.9|104
4.0|104
4.1|105
4.2|105
4.3|105
4.4|106
4.5|106
4.6|106
4.7|107
4.8|107
4.9|108
5.0|108
5.1|108
5.2|109
5.3|109
5.4|19
5.5|110
5.6|110
5.7|110
5.8|111
5.9|111
6.0|111
6.1|112
6.2|112
6.3|113
6.4|113
6.5|114
6.6|114
6.7|115
6.8|115
6.9|116
7.0|116
