;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.00669014;0.0;[0];[0];[0];[0];0;-0.0;0.0;534073659338400
1;[0.00405982];[0.02768697];[-0.01010397];[0.07165922];[0.03446282];0.00669014;0.0;[0.];[0.];[0.];[0.];[0.];-0.0;0.0;534073726148800
2;[0.00639661];[0.03057228];[0.00497889];[0.24367478];[0.02748723];0.00669014;0.0;[0.];[0.];[0.];[0.];[0.];-0.0;0.0;534073792978300
3;[0.0073019];[0.01775028];[0.0175458];[0.0878743];[0.01122568];0.00669014;0.0;[0.];[0.];[0.];[0.];[0.];-0.0;0.0;534073860162600
4;[0.00727817];[0.00279252];[0.01846495];[-0.05628769];[0.00017684];0.0059859200000000005;0.0;[0.];[0.];[0.];[0.];[0.];-0.0;0.0;534073926906100
5;[0.00646732];[-0.00927379];[0.01339919];[-0.10794919];[-0.00639669];0.00457746;0.0;[0.];[0.];[0.];[0.];[0.];-0.00070423;0.0;534073994038900
6;[0.0050191];[-0.01770921];[0.00715054];[-0.11140115];[-0.01067938];0.00457746;0.0;[-0.00042735];[-0.00291444];[0.00106358];[-0.00754313];[-0.00362769];-0.00070423;0.0;534074061376400
7;[0.0042706];[-0.0151432];[-0.00132297];[-0.08015124];[-0.00396331];0.00457746;0.0;[-0.00067333];[-0.00321816];[-0.0005241];[-0.02565015];[-0.00289341];0.00070423;0.0;534074128131300
8;[0.0040829];[-0.00808199];[-0.00492574];[0.00481104];[0.00306553];0.00528169;0.0;[8.60790793e-05];[0.00396041];[-0.00397411];[0.00583626];[0.00607372];0.00070423;0.0;534074195084900
9;[0.00462853];[0.0008286];[-0.00460669];[0.06061497];[0.01012089];0.00528169;0.0;[0.00058053];[0.00614236];[-0.0008955];[0.05722536];[0.00576821];0.00070423;0.0;534074262349700
10;[0.00506249];[0.00388046];[0.00026956];[0.08127503];[0.00944774];0.0059859200000000005;0.0;[0.00081149];[0.00440634];[0.00239538];[0.02906912];[0.0026548];0.00070423;0.0;534074329243500
11;[0.00571123];[0.00545661];[0.00320355];[0.05137491];[0.00985299];0.00528169;0.0;[0.00084308];[0.00149972];[0.00330344];[-0.00441164];[9.30857248e-05];-0.0;0.0;534074396367700
12;[0.00556453];[6.20256608e-05];[0.00710669];[0.02461716];[0.00282425];0.00528169;0.0;[0.00035197];[-0.00353342];[0.00349509];[-0.02661812];[-0.00452699];-0.0;0.0;534074464269600
13;[0.00535281];[-0.00372991];[0.00613043];[-0.02678371];[0.00075061];0.00457746;0.0;[3.27760159e-05];[-0.00461536];[0.00056887];[-0.04235724];[-0.00357855];-0.0;0.0;534074530482100
14;[0.00475432];[-0.00770943];[0.00467558];[-0.03200166];[-0.00218354];0.00457746;-6.0;[-0.00010414];[-0.00308];[-0.00168888];[-0.01660319];[-0.00120573];0.00070423;-6.0;534074597525000
15;[0.00442706];[-0.00726391];[0.00139774];[-0.03071037];[0.08799746];0.00457746;-5.0;[0.00031835];[0.00193481];[-0.00316546];[0.01428123];[0.0920916];0.00070423;-6.0;534074664579800
16;[0.00427705];[-0.01046513];[0.03008022];[0.47800773];[0.04451346];0.00457746;-4.0;[0.00056693];[-0.0021524];[0.02959656];[0.51717601];[0.06026971];0.00070423;-6.0;534074731843000
17;[0.0039779];[-0.02047577];[0.03747646];[0.06090316];[0.02055491];0.00457746;-3.0;[0.00037329];[-0.0164959];[0.04405941];[0.13855298];[0.04218388];0.00070423;-6.0;534074798823600
18;[0.00359846];[-0.02534247];[0.02842287];[-0.06896537];[0.00937478];0.00457746;-2.0;[-0.00011939];[-0.02760167];[0.04159844];[0.00263498];[0.0358554];-0.0;-6.0;534074866090100
