;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.00912921;0.0;[0];[0];[0];[0];0;-0.0028011200000000003;0.0;192255376231100
1;[0.00553994];[0.03778099];[-0.01378764];[0.09778451];[0.04433836];0.00842697;0.0;[-0.00169982];[-0.01159236];[0.00423047];[-0.03000327];[-0.01360436];-0.0028011200000000003;0.0;192255443105200
2;[0.00830402];[0.03898872];[0.00692474];[0.31042928];[0.03285826];0.00912921;0.0;[-0.00267868];[-0.01285464];[-0.0017993];[-0.09755709];[-0.01112839];-0.0028011200000000003;0.0;192255510161000
3;[0.00973023];[0.02446024];[0.02129548];[0.10200311];[0.01620881];0.00912921;0.0;[-0.00306083];[-0.00760225];[-0.00699793];[-0.03649406];[-0.0047829];-0.00210084;0.0;192255577369300
4;[0.0098607];[0.00581565];[0.02333316];[-0.0545213];[0.00255244];0.00842697;0.0;[-0.00263];[0.0015177];[-0.00861683];[0.02892672];[0.00310603];-0.00210084;0.0;192255644241100
5;[0.00901333];[-0.00954747];[0.01782042];[-0.12439311];[-0.00571063];0.007022469999999999;0.0;[-0.0022262];[0.00573];[-0.00473578];[0.06470429];[0.00383303];-0.0014005600000000001;0.0;192255711380200
6;[0.00747311];[-0.01974217];[0.01014562];[-0.13066981];[-0.01020208];0.00632022;0.0;[-0.00155814];[0.00838364];[-0.0017261];[0.04605058];[0.00488165];-0.00210084;0.0;192255778485500
7;[0.00622533];[-0.02041337];[0.00142168];[-0.09817791];[-0.00681312];0.00632022;0.0;[-0.00166863];[0.00355216];[0.00268423];[0.02069436];[-0.00164016];-0.0028011200000000003;0.0;192255845795000
8;[0.00576168];[-0.01320229];[-0.0045501];[-0.02239989];[0.00127094];0.007022469999999999;0.0;[-0.00227978];[-0.00310734];[0.00338444];[-0.03900189];[-0.00736086];-0.0035014;0.0;192255912501700
9;[0.00621427];[-0.00231567];[-0.00584807];[0.05501856];[0.01017978];0.00912921;0.0;[-0.00311298];[-0.00765394];[0.00075553];[-0.06588825];[-0.00986393];-0.0028011200000000003;0.0;192255979774900
10;[0.00794735];[0.01151518];[-0.004272];[0.11491424];[0.02127357];0.00983146;0.0;[-0.0031148];[-0.00328904];[-0.00478963];[-0.04420368];[-0.00303947];-0.0028011200000000003;0.0;192256047221700
11;[0.00939087];[0.01522962];[0.00404971];[0.14193737];[0.02012086];0.01053371;0.0;[-0.00297847];[0.00098324];[-0.0052943];[0.01736991];[8.77811084e-05];-0.0028011200000000003;0.0;192256113791300
12;[0.0104334];[0.01195353];[0.01064581];[0.07961376];[0.01522655];0.00983146;0.0;[-0.0028177];[0.00306488];[-0.00331508];[0.02830464];[0.00041932];-0.00210084;0.0;192256180746900
13;[0.01030319];[0.00089562];[0.01483091];[0.0063273];[0.0046293];0.00912921;0.0;[-0.00228783];[0.00601001];[-0.00245689];[0.02328549];[0.00282302];-0.0028011200000000003;0.0;192256247998100
14;[0.00952974];[-0.00942243];[0.01288122];[-0.06644728];[-0.00213296];0.00842697;0.0;[-0.00243489];[0.00251219];[0.00101515];[0.01691067];[-0.00229847];-0.0028011200000000003;0.0;192256314838500
