;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0.00662392];[0.04517346];[-0.01648542];[0.11691765];[0.02866681];0.010915490000000002;0.0;[-0.0017094];[-0.01165767];[0.0042543];[-0.03017229];[-0.00739788];-0.0028169;0.0;372756489380100
1;[0.01045202];[0.05169241];[-0.00140881];[0.24830578];[0.0312176];0.010915490000000002;0.0;[-0.0026973];[-0.01333997];[0.00036356];[-0.0640789];[-0.00805615];-0.0028169;0.0;372756556280000
2;[0.01203338];[0.03471153];[0.01666877];[0.12840435];[0.02156984];0.010915490000000002;0.0;[-0.00310539];[-0.00895781];[-0.00430162];[-0.0331366];[-0.00556641];-0.0028169;0.0;372756623302500
3;[0.01298811];[0.01757084];[0.02218188];[-0.00059212];[0.01385882];0.01232394;0.0;[-0.00270385];[-0.0001158];[-0.00733687];[0.01158902];[-0.00077245];-0.00211268;0.0;372756690248300
4;[0.01247835];[-0.00181488];[0.02257794];[-0.06829917];[0.00476031];0.01161972;0.0;[-0.00230814];[0.00477251];[-0.0056899];[0.03996686];[0.00134778];-0.00211268;0.0;372756757316600
5;[0.01136097];[-0.01514235];[0.01742041];[-0.10359104];[-0.00106934];0.010915490000000002;0.0;[-0.00161178];[0.00860467];[-0.0036308];[0.04075537];[0.00323825];-0.00140845;0.0;372756824523800
6;[0.01018657];[-0.02033745];[0.00987757];[-0.09194711];[-0.00292453];0.01021127;0.0;[-0.00125229];[0.00754126];[-0.00024177];[0.029996];[0.0024064];-0.00140845;0.0;372756891481800
7;[0.00963357];[-0.01648401];[0.00230372];[-0.04697859];[-0.00026859];0.01021127;0.0;[-0.00158302];[0.00140004];[0.00300788];[-0.00222307];[-0.00118406];-0.00211268;0.0;372756958596100
8;[0.00955235];[-0.00943129];[-0.00158222];[0.00734006];[0.00346186];0.01021127;0.0;[-0.00188427];[-0.00213221];[0.00240473];[-0.0287059];[-0.00282214];-0.00211268;0.0;372757025571300
9;[0.01057193];[0.00237265];[-0.00378];[0.05527347];[0.00991844];0.01161972;0.0;[-0.00208752];[-0.00289422];[0.00040156];[-0.02690848];[-0.00294267];-0.00211268;0.0;372757092642700
10;[0.01170809];[0.00924651];[-0.00083784];[0.0868965];[0.01326083];0.01232394;0.0;[-0.00217601];[-0.0019179];[-0.00126878];[-0.01445612];[-0.0022819];-0.00211268;0.0;372757159748800
11;[0.0123111];[0.00794078];[0.00486934];[0.07042177];[0.01207403];0.01232394;0.0;[-0.0021777];[-0.00042911];[-0.00201255];[-0.00269055];[-0.00149841];-0.00211268;0.0;372757226793400
12;[0.01163039];[-0.00300099];[0.01081175];[0.01451491];[0.00556993];0.010915490000000002;0.0;[-0.00213725];[0.00074235];[-0.00195433];[0.0036338];[-0.00096513];-0.00211268;0.0;372757293917000
13;[0.01105685];[-0.00896442];[0.00967259];[-0.03317286];[0.00278784];0.010915490000000002;0.0;[-0.00209231];[0.00129746];[-0.0014963];[0.00453352];[-0.00076933];-0.00211268;0.0;372757360804600
