;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.01155462;0.0;[0];[0];[0];[0];0;0.0006983200000000001;0.0;192334584483700
1;[0.00701177];[0.04781849];[-0.01745069];[0.12376348];[0.05611799];0.01155462;0.0;[0.00042377];[0.00288998];[-0.00105466];[0.00747982];[0.00339157];0.0006983200000000001;0.0;192334651339800
2;[0.01104956];[0.05302539];[0.00742212];[0.40242299];[0.04590463];0.01155462;0.0;[0.0006678];[0.00320467];[0.00044857];[0.02432101];[0.00277431];0.0006983200000000001;0.0;192334719163300
3;[0.01262592];[0.03135926];[0.02886645];[0.150538];[0.01972946];0.01155462;0.0;[0.00076307];[0.00189524];[0.00174458];[0.00909798];[0.00119238];0.0006983200000000001;0.0;192334785479100
4;[0.01260171];[0.00569412];[0.03118177];[-0.08838187];[0.0012171];0.00945378;0.0;[0.0007616];[0.00034413];[0.00188451];[-0.00534148];[7.35574095e-05];0.0006983200000000001;0.0;192334852416700
5;[0.01067058];[-0.01907418];[0.02456347];[-0.1888019];[-0.01453836];0.00805322;0.0;[0.00072194];[-0.00062732];[0.00129277];[-0.01005055];[-0.000262];-0.0;0.0;192334919558400
6;[0.00847783];[-0.03022524];[0.01073987];[-0.20955273];[-0.01632342];0.00805322;0.0;[0.00026139];[-0.00378372];[0.00165746];[-0.0148158];[-0.00346258];0.0006983200000000001;0.0;192334986456700
7;[0.00740799];[-0.02405642];[-0.00320692];[-0.1139439];[-0.00463478];0.00735294;0.0;[0.00042337];[-0.00103554];[-0.00132547];[-0.01912537];[0.00089023];0.0006983200000000001;0.0;192335054435600
8;[0.00678502];[-0.01488286];[-0.00700018];[0.01571741];[0.00269265];0.00665266;0.0;[0.00057144];[0.0008774];[-0.0012289];[0.01675786];[0.00210812];-0.0;0.0;192335120613200
9;[0.00635984];[-0.00866648];[-0.0045981];[0.05922573];[0.00471873];0.00805322;0.0;[0.0002518];[-0.00156561];[0.00106358];[0.00999153];[-0.0016526];-0.0;0.0;192335187521300
10;[0.00718516];[0.00205427];[-0.0041109];[0.06982874];[0.01346335];0.008753499999999999;0.0;[5.35458052e-05];[-0.00238881];[0.00042178];[-0.01682506];[-0.00184044];-0.0;0.0;192335254656400
11;[0.00820079];[0.00808888];[0.00056501];[0.10509105];[0.01586109];0.00945378;0.0;[-4.048106e-05];[-0.00180724];[-0.00068559];[-0.0099394];[-0.00084886];-0.0;0.0;192335322781300
12;[0.00915077];[0.00908815];[0.00575226];[0.08352307];[0.0146035];0.01085434;0.0;[-5.74262931e-05];[-0.00074995];[-0.00106024];[0.00137676];[6.41663006e-05];0.0006983200000000001;0.0;192335388732100
13;[0.01037321];[0.0101045];[0.00780145];[0.05507658];[0.01592925];0.01085434;0.0;[0.00038769];[0.00295228];[-0.00184873];[0.01443896];[0.00385899];0.0006983200000000001;0.0;192335455796200
14;[0.01086934];[0.00509077];[0.0112264];[0.03963948];[0.01067029];0.01085434;0.0;[0.00065893];[0.00359904];[0.00012751];[0.03088934];[0.00321118];0.0006983200000000001;0.0;192335522885500
15;[0.01092115];[-0.00110412];[0.01167731];[-0.00759116];[0.00625049];0.01015406;0.0;[0.00077084];[0.00225282];[0.00178142];[0.01252062];[0.00141264];0.0006983200000000001;0.0;192335589998900
16;[0.01036048];[-0.00812807];[0.01050744];[-0.03440103];[0.00126828];0.01015406;0.0;[0.00077331];[0.00051683];[0.00206364];[-0.00490882];[9.34041958e-05];0.0006983200000000001;0.0;192335657150700
17;[0.00997089];[-0.00979636];[0.00625201];[-0.04250353];[0.00245118];0.01015406;0.0;[0.00072995];[-0.00061926];[0.00145147];[-0.01115915];[-0.0003417];0.0006983200000000001;0.0;192335724078500
18;[0.00979803];[-0.00798019];[0.00314586];[-0.00785895];[0.00534366];0.01085434;0.0;[0.00068774];[-0.00096381];[0.00067763];[-0.00861661];[-0.00015819];0.0006983200000000001;0.0;192335791269000
19;[0.01021508];[-0.00243158];[0.00137817];[0.02983374];[0.01090728];0.01085434;-7.0;[0.00066633];[-0.00079333];[0.00017957];[-0.00304059];[0.00022333];0.0006983200000000001;-7.0;192335858344700
20;[0.01052562];[-0.00029633];[0.00372348];[0.05833391];0.10471975511965978;0.01085434;-6.0;[0.00066449];[-0.0004716];[3.51080507e-05];[0.00137023];[0.09621188];0.0006983200000000001;-7.0;192335925195500
21;[0.01063546];[-0.00716211];[0.03860037];[0.54731694];[0.0595598];0.01085434;-5.0;[0.00061873];[-0.00652186];[0.03321254];[0.52147231];[0.0639308];0.0006983200000000001;-7.0;192335992309300
22;[0.01031282];[-0.02259228];[0.04916878];[0.08972677];[0.03122255];0.01015406;-4.0;[0.00025624];[-0.02115946];[0.04730621];[0.14152441];[0.0466427];-0.0;-7.0;192336059367800
