;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0.00534187];[0.03643023];[-0.0132947];[0.09428849];[0.02311841];0.00880282;0.0;[-0.00213675];[-0.0145721];[0.00531788];[-0.03771542];[-0.00924737];-0.00352113;0.0;374007712986000
1;[0.00842906];[0.04168746];[-0.00113614];[0.20024672];[0.0251755];0.00880282;0.0;[-0.00337162];[-0.01667499];[0.00045446];[-0.08009873];[-0.01007021];-0.00352113;0.0;374007779764200
2;[0.01013169];[0.03090758];[0.01237899];[0.11109498];[0.0192445];0.00950704;0.0;[-0.00388174];[-0.01119728];[-0.00537703];[-0.04142081];[-0.00695802];-0.00352113;0.0;374007846870800
3;[0.00960463];[0.0069755];[0.02164033];[-0.0117103];[0.00650854];0.00809859;0.0;[-0.00391401];[-0.00378775];[-0.00784163];[0.00505751];[-0.00327739];-0.00352113;0.0;374007913907700
4;[0.0087479];[-0.00892287];[0.01875409];[-0.09859056];[-0.00055448];0.00809859;0.0;[-0.00330073];[0.00471136];[-0.00806235];[0.03747723];[0.00101668];-0.0028169;0.0;374007980972700
5;[0.00802845];[-0.01450512];[0.01080068];[-0.09548033];[-0.00211889];0.00809859;0.0;[-0.00284501];[0.00764852];[-0.00464417];[0.04718007];[0.00201052];-0.0028169;0.0;374008048056600
6;[0.00764694];[-0.01265166];[0.00363557];[-0.05080022];[-0.00032212];0.00809859;0.0;[-0.00303777];[0.00363591];[-9.99558593e-06];[0.01947567];[-0.00078678];-0.00352113;0.0;374008115043200
7;[0.00800758];[-0.00483695];[-0.00129353];[0.00383908];[0.00430691];0.00880282;0.0;[-0.00323856];[0.00046553];[0.00099566];[-0.01325307];[-0.00247451];-0.00352113;0.0;374008182079000
8;[0.0087982];[0.00302532];[-0.00202989];[0.04928808];[0.00850375];0.00950704;0.0;[-0.0034015];[-0.00096393];[0.00011792];[-0.02107428];[-0.0030554];-0.00352113;0.0;374008249248200
9;[0.00930956];[0.00491893];[0.00135948];[0.05882493];[0.00907039];0.00950704;0.0;[-0.00349661];[-0.00091175];[-0.00109841];[-0.01633375];[-0.00288403];-0.00352113;0.0;374008316205100
10;[0.00868504];[-0.00291336];[0.00687116];[0.02155807];[0.00405006];0.00809859;0.0;[-0.00438107];[-0.00594293];[0.00022742];[-0.02344611];[-0.00611262];-0.00492958;0.0;374008383300400
11;[0.00864106];[-0.00409721];[0.00547895];[-0.01233365];[0.00386871];0.00880282;0.0;[-0.0040079];[-8.6214623e-05];[-0.00407816];[-0.01934076];[-0.00231128];-0.00352113;0.0;374008450331500
12;[0.00860292];[-0.0041289];[0.00403002];[-0.00238875];[0.00407356];0.00880282;0.0;[-0.00369015];[0.00351371];[-0.00430177];[0.01549719];[-0.00049667];-0.00352113;0.0;374008517455000
13;[0.0085944];[-0.0035702];[0.0032212];[0.00607995];[0.00445103];0.00880282;0.0;[-0.00347469];[0.00448071];[-0.00264758];[0.01820206];[-0.00022033];-0.00352113;0.0;374008584582700
14;[0.00860913];[-0.00294567];[0.00296462];[0.01149404];[0.0047792];0.00880282;0.0;[-0.00337457];[0.00368075];[-0.00106182];[0.00784447];[-0.0007822];-0.00352113;0.0;374008651685900
15;[0.00863184];[-0.00253801];[0.00305174];[0.01365522];[0.00495855];0.00880282;0.0;[-0.00336349];[0.00227753];[-0.00028223];[-0.00333226];[-0.00152835];-0.00352113;0.0;374008718792300
16;[0.00865051];[-0.00240186];[0.00326382];[0.01349371];[0.00499434];0.00880282;0.0;[-0.00339831];[0.00110932];[-0.0002767];[-0.00984297];[-0.00206759];-0.00352113;0.0;374008785788500
17;[0.00866016];[-0.00245716];[0.00345006];[0.01228989];[0.00494432];0.00880282;0.0;[-0.00344129];[0.00051338];[-0.00068952];[-0.01115961];[-0.00228792];-0.00352113;0.0;374008852799700
18;[0.00866161];[-0.00258793];[0.00354788];[0.01105853];[0.00487085];0.00880282;0.0;[-0.00347098];[0.00043839];[-0.00116232];[-0.00921903];[-0.00225951];-0.00352113;0.0;374008919786600
19;[0.00865841];[-0.00270579];[0.00356174];[0.01030674];[0.00481441];0.00880282;0.0;[-0.00348211];[0.00065537];[-0.00148444];[-0.00634466];[-0.00211599];-0.00352113;0.0;374008986915600
20;[0.00865413];[-0.00277104];[0.00352733];[0.01009628];[0.00478874];0.00880282;0.0;[-0.0034794];[0.00093467];[-0.00160599];[-0.00410447];[-0.00197028];-0.00352113;0.0;374009053974700
21;[0.00865099];[-0.00278418];[0.00348184];[0.01024368];[0.00478868];0.00880282;0.0;[-0.00347072];[0.001136];[-0.00157928];[-0.00305404];[-0.00188043];-0.00352113;0.0;374009121025900
22;[0.00864966];[-0.00276585];[0.00344849];[0.01051497];[0.0048016];0.00880282;0.0;[-0.00346241];[0.00121904];[-0.00148838];[-0.00301293];[-0.00185395];-0.00352113;0.0;374009188058600
23;[0.00864977];[-0.0027388];[0.00343432];[0.01074295];[0.00481603];0.00880282;0.0;[-0.00345753];[0.00120978];[-0.00140075];[-0.00349666];[-0.00186986];-0.00352113;0.0;374009255053700
24;[0.00865056];[-0.00271794];[0.00343537];[0.01085991];[0.00482556];0.00880282;0.0;[-0.00345629];[0.00115748];[-0.00134914];[-0.00405567];[-0.00190094];-0.00352113;0.0;374009322120700
25;[0.00865139];[-0.00270837];[0.00344369];[0.01087502];[0.0048289];0.00880282;0.0;[-0.00345738];[0.00110392];[-0.00133595];[-0.00443361];[-0.00192752];-0.00352113;0.0;374009389443200
26;[0.00865191];[-0.00270826];[0.00345244];[0.01083276];[0.00482779];0.00880282;0.0;[-0.00345921];[0.00107069];[-0.00134736];[-0.00457198];[-0.00194142];-0.00352113;0.0;374009456320200
27;[0.00822472];[-0.00562741];[0.00452155];[0.00323494];[0.00297539];0.00809859;0.0;[-0.00303336];[0.00397518];[-0.00243031];[0.00300806];[-9.39835708e-05];-0.0028169;0.0;374009523271600
28;[0.00797766];[-0.00605329];[0.0035506];[-0.00528133];[0.00280813];0.00809859;0.0;[-0.00364182];[-0.00142736];[0.00065372];[-0.00349031];[-0.00362361];-0.00422535;0.0;374009590467600
29;[0.00830282];[-0.00204683];[0.00131985];[0.00998101];[0.00527853];0.00880282;0.0;[-0.00360646];[-0.00043827];[-0.00119673];[-0.02053118];[-0.00271941];-0.00352113;0.0;374009657533200
30;[0.00854319];[-0.00014558];[0.00179779];[0.02775514];[0.0061789];0.00880282;0.0;[-0.00355678];[0.00070127];[-0.00206444];[-0.00581828];[-0.00204146];-0.00352113;0.0;374009724525200
31;[0.00868231];[-0.0001238];[0.00313106];[0.02500506];[0.00604577];0.00880282;0.0;[-0.00350448];[0.00145776];[-0.00204942];[7.68720819e-05];[-0.00167859];-0.00352113;0.0;374009791539100
32;[0.0087305];[-0.00110132];[0.00411222];[0.01596506];[0.0054761];0.00880282;0.0;[-0.00346515];[0.00170721];[-0.00170459];[0.00047231];[-0.00160288];-0.00352113;0.0;374009858685600
33;[0.00871986];[-0.0022178];[0.00442435];[0.00851111];[0.00492259];0.00880282;0.0;[-0.00344525];[0.00159571];[-0.00137311];[-0.00155081];[-0.00169617];-0.00352113;0.0;374009925652500
34;[0.00868609];[-0.00297413];[0.0042326];[0.00527658];[0.00459955];0.00880282;0.0;[-0.00344194];[0.00134261];[-0.0011965];[-0.00379385];[-0.00183598];-0.00352113;0.0;374009992853600
