;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0.0058998];[0.04023515];[-0.01468325];[0.10413634];[0.02553298];0.00972222;0.0;[-0.00168566];[-0.01149577];[0.00419522];[-0.02975327];[-0.00729515];-0.00277778;0.0;370761960516200
1;[0.00846659];[0.04029357];[0.00084281];[0.20628461];[0.02415735];0.00833333;0.0;[-0.00308125];[-0.01602864];[0.00140731];[-0.07062726];[-0.00976805];-0.00347222;0.0;370762027488900
2;[0.01023082];[0.03008743];[0.0129282];[0.09764946];[0.01888728];0.00972222;0.0;[-0.0033058];[-0.00924814];[-0.00520105];[-0.04103528];[-0.00565139];-0.00277778;0.0;370762094638000
3;[0.01018437];[0.00974511];[0.0204002];[-0.0061463];[0.00845302];0.00902778;0.0;[-0.00360973];[-0.00478172];[-0.00628747];[0.00417964];[-0.00379548];-0.00347222;0.0;370762161507100
4;[0.00919454];[-0.00820148];[0.01949064];[-0.08755367];[-5.85851693e-05];0.00833333;0.0;[-0.00319095];[0.00246416];[-0.00696649];[0.0244223];[-9.33727909e-05];-0.00277778;0.0;370762228660600
5;[0.0083601];[-0.01520425];[0.01193371];[-0.10019073];[-0.00238434];0.00833333;0.0;[-0.00284031];[0.00558461];[-0.00457589];[0.03711623];[0.00109312];-0.00277778;0.0;370762295703900
6;[0.00789609];[-0.01386554];[0.0042912];[-0.0584163];[-0.0007834];0.00833333;0.0;[-0.00263698];[0.00535844];[-0.00169908];[0.02418782];[0.00062997];-0.00277778;0.0;370762362751100
7;[0.00820806];[-0.00592174];[-0.00119514];[-0.00099399];[0.00396605];0.00902778;0.0;[-0.00257763];[0.00350148];[0.00011693];[0.00543622];[-0.0004624];-0.00277778;0.0;370762429867000
8;[0.00897975];[0.0023534];[-0.00226084];[0.04816977];[0.00838826];0.00972222;0.0;[-0.00261016];[0.00153605];[0.0006124];[-0.00807486];[-0.00143561];-0.00277778;0.0;370762496965600
9;[0.00949571];[0.00468628];[0.00104624];[0.06031755];[0.00916619];0.00972222;0.0;[-0.0026747];[0.00028072];[0.00021664];[-0.01330455];[-0.0019637];-0.00277778;0.0;370762563956600
10;[0.00931772];[9.31569556e-05];[0.00557588];[0.03174076];[0.00613873];0.00902778;0.0;[-0.00272948];[-0.00012613];[-0.00048674];[-0.01216184];[-0.00205851];-0.00277778;0.0;370762630921500
11;[0.00910863];[-0.00348245];[0.00639287];[-0.00137937];[0.00429771];0.00902778;0.0;[-0.00275758];[5.43304279e-05];[-0.00107511];[-0.00818938];[-0.0018966];-0.00277778;0.0;370762698201600
12;[0.0089332];[-0.00508123];[0.00528694];[-0.0086418];[0.00367245];0.00902778;0.0;[-0.00276109];[0.00046061];[-0.00137701];[-0.0043192];[-0.0016681];-0.00277778;0.0;370762765225000
13;[0.00883008];[-0.00501768];[0.00388112];[-0.00272957];[0.00387581];0.00902778;0.0;[-0.00275076];[0.00082179];[-0.00141675];[-0.00200665];[-0.00149531];-0.00277778;0.0;370762832139700
14;[0.0079556];[-0.00987162];[0.00506918];[-0.0084665];[0.00075823];0.007638890000000001;4.286263797015736e-16;[-0.00315886];[-0.00185522];[-0.00025999];[-0.00882118];[0.05163587];-0.00347222;-7.0;370762899331900
15;[0.00832598];[-0.00398346];[0.00079026];[-0.00357034];[-0.00590751];0.00902778;1.3356629676358145;[-0.00300216];[-0.00296576];[0.01685165];[0.28699094];[0.04582633];-0.00277778;-6.871390284133648;370762966327100
16;[0.00864912];[0.00032568];[-0.0030301];[-0.02560559];[-0.01294148];0.00902778;2.6222461539113837;[-0.00307429];[-0.01070465];[0.02860367];[0.14451548];[0.03744292];-0.00277778;-6.490286981967512;370763033404300
17;[0.00891236];[0.00372754];[-0.00717318];[-0.04859362];[-0.01961498];0.00902778;3.8124732451051897;[-0.00377431];[-0.02131951];[0.03193319];[0.04587509];[0.0268814];-0.00347222;-5.870693975617968;370763100461500
18;[0.00913044];[0.0068427];[-0.01158401];[-0.06659531];[-0.02532183];0.00902778;4.862608593212981;[-0.00432835];[-0.0256971];[0.02733528];[-0.0071613];[0.01898959];-0.00347222;-5.0353786023705585;370763167607600
19;[0.00974552];[0.01282783];[-0.01692683];[-0.07017533];[-0.0278729];0.00972222;5.7340643100229425;[-0.00589018];[-0.03279517];[0.02307552];[-0.03545444];[0.00745881];-0.00555556;-4.015035054457322;370763234624600
20;[0.01017128];[0.01629999];[-0.01969764];[-0.0664479];[-0.03060077];0.00972222;6.394818203498206;[-0.00749748];[-0.03467269];[0.01516958];[-0.06679512];[-0.00215036];-0.00694444;-2.8471565015306015;370763301698300
