;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0.00405982];[0.02768697];[-0.01010397];[0.07165922];[0.01756998];0.00669014;0.0;[-0.00128205];[-0.00874327];[0.00319073];[-0.02262927];[-0.00554843];-0.00211268;0.0;372053959059400
1;[0.00640608];[0.03168245];[-0.00086346];[0.15218743];[0.01913337];0.00669014;0.0;[-0.00202298];[-0.010005];[0.00027267];[-0.04805929];[-0.00604213];-0.00211268;0.0;372054025980500
2;[0.0073753];[0.02127481];[0.01021634];[0.07869945];[0.01322022];0.00669014;0.0;[-0.00232905];[-0.00671837];[-0.00322622];[-0.02485251];[-0.00417482];-0.00211268;0.0;372054092942400
3;[0.00743661];[0.00719671];[0.01489909];[-0.00960926];[0.00622703];0.00669014;0.0;[-0.00234841];[-0.00227265];[-0.00470498];[0.00303451];[-0.00196643];-0.00211268;0.0;372054160015400
4;[0.00665601];[-0.00632855];[0.01436121];[-0.06441775];[-0.00026713];0.0059859200000000005;0.0;[-0.0026642];[-0.00183624];[-0.0031357];[0.01041746];[-0.00234914];-0.0028169;0.0;372054227047200
5;[0.00601243];[-0.01153062];[0.0087421];[-0.07522399];[-0.00200731];0.0059859200000000005;0.0;[-0.00235858];[0.00216753];[-0.00370464];[0.01021957];[-0.00016669];-0.00211268;0.0;372054294221900
6;[0.00565852];[-0.01043009];[0.00300768];[-0.04387978];[-0.00076666];0.0059859200000000005;0.0;[-0.00213409];[0.00368206];[-0.00245568];[0.01897628];[0.00042509];-0.00211268;0.0;372054361404300
7;[0.00600392];[-0.00362482];[-0.00137111];[0.0013758];[0.00331426];0.00669014;0.0;[-0.00201468];[0.00330769];[-0.00089106];[0.01156255];[6.65591816e-05];-0.00211268;0.0;372054428244400
8;[0.00633316];[0.00058799];[-0.00109841];[0.03493248];[0.00532512];0.00669014;0.0;[-0.00198528];[0.00209788];[4.47109092e-05];[0.00089334];[-0.0006093];-0.00211268;0.0;372054495335900
9;[0.00656607];[0.00175597];[0.00100215];[0.0356311];[0.00562646];0.00669014;0.0;[-0.00200886];[0.00092842];[0.00022465];[-0.00642269];[-0.0011717];-0.00211268;0.0;372054562443200
10;[0.00667584];[0.0008812];[0.00290507];[0.02287515];[0.00498419];0.00669014;0.0;[-0.00204835];[0.00023269];[-7.70082197e-05];[-0.00884504];[-0.00145281];-0.00211268;0.0;372054629493700
11;[0.00668723];[-0.00070238];[0.00384123];[0.00971024];[0.00413216];0.00669014;0.0;[-0.00207975];[4.69260859e-05];[-0.00051582];[-0.00770957];[-0.00148018];-0.00211268;0.0;372054696494100
12;[0.00664722];[-0.00203184];[0.00387262];[0.00206231];[0.00351411];0.00669014;0.0;[-0.00209449];[0.00019085];[-0.00085697];[-0.00516521];[-0.00136798];-0.00211268;0.0;372054763590900
13;[0.0061707];[-0.00562987];[0.00447784];[-0.00711419];[0.00140945];0.0059859200000000005;0.0;[-0.00209493];[0.00044472];[-0.00101716];[-0.00288251];[-0.00122893];-0.00211268;0.0;372054830656300
14;[0.00631698];[-0.00322692];[0.00190699];[-0.00590778];[0.00312348];0.00669014;0.0;[-0.00208793];[0.00065462];[-0.00102399];[-0.00161664];[-0.00113066];-0.00211268;0.0;372054897681400
15;[0.0055943];[-0.00729592];[0.00347336];[-0.00153436];[0.00037338];0.00528169;0.0;[-0.00165254];[0.00367449];[-0.00201455];[0.00618661];[0.00075806];-0.00140845;0.0;372054964802400
16;[0.00519882];[-0.00743353];[0.0020612];[-0.01437637];[0.00032366];0.00528169;0.0;[-0.00225483];[-0.00172242];[0.00116994];[-0.00077128];[-0.00278227];-0.0028169;0.0;372055031832400
17;[0.0059029];[0.00045142];[-0.00170817];[0.01306743];[0.00512312];0.00669014;0.0;[-0.00221743];[-0.00078539];[-0.00061537];[-0.01843612];[-0.00191083];-0.00211268;0.0;372055098903400
18;[0.00554327];[-0.0020902];[0.0018018];[0.02885332];[0.04997157];0.00528169;-6.0;[-0.00259593];[-0.00262106];[-0.00039775];[-0.01172874];[0.0439248];-0.0028169;-6.0;372055166012800
19;[0.00529171];[-0.00649318];[0.01888578];[0.25785161];[0.03574894];0.00528169;-5.0;[-0.00281895];[-0.00541787];[0.01490399];[0.24023733];[0.03856683];-0.0028169;-6.0;372055233054600
20;[0.00583781];[-0.00814869];[0.02400278];[0.09628474];[0.027151];0.00669014;-4.0;[-0.00264429];[-0.00909532];[0.02344695];[0.12549871];[0.03575301];-0.00211268;-6.0;372055300109700
21;[0.00599526];[-0.01203583];[0.02337111];[0.02920957];[0.01802087];0.00669014;-3.0;[-0.00270896];[-0.01450424];[0.02666679];[0.07394021];[0.03278071];-0.00211268;-6.0;372055367122300
22;[0.00511501];[-0.02011217];[0.0211547];[-0.02639241];[0.00643255];0.00528169;-2.0;[-0.00416811];[-0.02733803];[0.0297377];[0.0262958];[0.02533611];-0.00422535;-6.0;372055434245600
23;[0.00458373];[-0.02029176];[0.01309205];[-0.05864883];[-0.00020666];0.00528169;-1.0;[-0.00508034];[-0.03040365];[0.0251789];[-0.0023139];[0.02421716];-0.00422535;-6.0;372055501415300
24;[0.00313763];[-0.02376519];[0.00776972];[-0.06686901];[-0.00969296];0.00316901;0.0;[-0.00762718];[-0.04162349];[0.02527985];[-0.00828245];[0.01709268];-0.00774648;-6.0;372055568329700
25;[0.00166032];[-0.02358871];[0.0006534];[-0.08690654];[-0.01714052];0.00176056;1.0;[-0.00976652];[-0.0441217];[0.02000032];[-0.02697424];[0.01537735];-0.00915493;-6.0;372055635511100
26;[-0.00015395];[-0.02320613];[-0.00562799];[-0.09542563];[-0.02496313];-0.00035211;2.0;[-0.01235019];[-0.04672371];[0.01667419];[-0.01277474];[0.0127652];-0.011971830000000001;-6.0;372055702482800
27;[-0.00081833];[-0.01283682];[-0.01508118];[-0.08505412];[-0.02676286];-0.00035211;3.0;[-0.01469571];[-0.04534754];[0.01284105];[-0.00356715];[0.01227583];-0.01408451;-6.0;372055769544400
28;[-0.00204416];[-0.00857561];[-0.01836276];[-0.06860712];[-0.03302938];-0.00246479;4.0;[-0.01727132];[-0.04510769];[0.01118849];[0.00727432];[0.01065233];-0.01690141;-6.0;372055836515800
29;[-0.00325117];[-0.00499724];[-0.02174842];[-0.09136334];[-0.03943314];-0.00387324;5.0;[-0.02211458];[-0.05990864];[0.01539405];[-0.03404862];[-0.00059008];-0.02323944;-6.0;372055903634900
30;[-0.00318357];[0.00697142];[-0.02885253];[-0.0887295];[-0.04036182];-0.00316901;6.0;[-0.03039493];[-0.09126056];[0.01988414];[-0.15760171];[-0.02185632];-0.03309859;-6.0;372055970669300
31;[-0.00238422];[0.02015817];[-0.03341637];[-0.05815496];[-0.03291897];-0.00246479;6.0;[-0.03659567];[-0.09259173];[0.00390886];[-0.21506863];[-0.02398245];-0.03661972;-6.0;372056037746500
32;[-0.00171335];[0.02674829];[-0.03092569];[-0.01372493];[-0.030028];-0.00246479;6.0;[-0.03897623];[-0.06226065];[-0.01695367];[-0.07140912];[-0.00839555];-0.03661972;-6.0;372056104849300
33;[0.00083828];[0.04187513];[-0.03158522];[0.01174702];[-0.02107341];0.00105634;6.0;[-0.04288437];[-0.05266034];[-0.01439216];[0.04920488];[-0.00800371];-0.042957749999999996;-6.0;372056171840300
34;[0.00350785];[0.04992629];[-0.02651057];[0.04671735];[-0.01642158];0.00316901;6.0;[-0.04590504];[-0.04290347];[-0.01218845];[0.03461717];[-0.00629236];-0.04577465;-6.0;372056238895200
35;[0.0064407];[0.05394108];[-0.02079554];[0.03883334];[-0.01338169];0.0059859200000000005;6.0;[-0.04813732];[-0.0332558];[-0.01075827];[0.03623544];[-0.00391863];-0.047887320000000004;-6.0;372056305936900
36;[0.01151013];[0.06873882];[-0.02096171];[0.0594978];[-0.00268346];0.01232394;6.0;[-0.05048676];[-0.029712];[-0.00718819];[0.02848251];[-0.00481425];-0.050704229999999996;-6.0;372056373074000
37;[0.01601246];[0.07171647];[-0.01337574];[0.08999631];[0.00060831];0.015845070000000003;6.0;[-0.05219311];[-0.02447477];[-0.00639237];[0.01302282];[-0.00385898];-0.052112679999999995;-6.0;372056440189500
38;[0.02037804];[0.06979359];[-0.00644709];[0.06085551];[0.00189426];0.020070420000000002;6.0;[-0.05316143];[-0.01701292];[-0.0067068];[0.02215835];[-0.00117764];-0.0528169;-6.0;372056507142700
39;[0.02884574];[0.09480446];[-0.01252264];[0.10869662];[0.02098988];0.031338029999999996;6.0;[-0.05420617];[-0.01384327];[-0.00449218];[0.02779034];[-0.00100284];-0.05422535;-6.0;372056574163100
