;xbx;vx;ax;vax;ux;posx;setx;xby;vy;ay;vay;uy;posy;sety;tr
0;[0];[0];[0];[0];0;0.11516854;0;[0];[0];[0];[0];0;0.10704224999999999;0;449035091876100
1;[0.07201625];[0.51521668];[-0.19924187];[1.40241182];0.10471975511965978;0.11587078999999999;0;[0.06693479];[0.478863];[-0.18518337];[1.30345767];0.10471975511965978;0.10704224999999999;0;449035158447300
2;[0.11291502];[0.58914895];[-0.09338933];[1.63967021];0.10471975511965978;0.11587078999999999;0;[0.10453565];[0.54417664];[-0.08311744];[1.55605972];0.10471975511965978;0.10704224999999999;0;449035225753600
3;[0.12947935];[0.42009993];[0.05442794];[0.51312391];0.10471975511965978;0.11516854;0;[0.11967311];[0.38534206];[0.05579296];[0.49526353];0.10471975511965978;0.10704224999999999;0;449035292134500
4;[0.1304098];[0.18760888];[0.14732138];[-0.25955774];0.10471975511965978;0.11587078999999999;0;[0.1208003];[0.17175705];[0.14118838];[-0.21747925];0.10471975511965978;0.10704224999999999;0;449035359313600
5;[0.12508251];[0.00574281];[0.17248872];[-0.51131785];[0.04197873];0.11446629;0;[0.11560472];[0.00056829];[0.16590397];[-0.46003476];[0.03107949];0.1056338;0;449035427761300
6;[0.1176884];[-0.10009644];[0.13694554];[-0.7738277];[-0.01411196];0.11306179999999999;0;[0.10852557];[-0.09799203];[0.12783581];[-0.78997304];[-0.01723961];0.10422535;0;449035492848400
7;[0.11168676];[-0.12722552];[0.07045762];[-0.7170603];[0.00349598];0.10674157;0;[0.10282922];[-0.12117349];[0.06317434];[-0.68294155];[0.00176229];0.09507042;0;449035560135700
8;[0.10515841];[-0.12653609];[0.03282975];[-0.26010353];[0.01671438];0.10112360000000001;0;[0.09472625];[-0.1327871];[0.03353216];[-0.27278149];[-0.00025602];0.08802816999999999;0;449035627023700
9;[0.09938278];[-0.11245584];[0.01663919];[-0.01229354];[0.02798017];0.09480337;0;[0.08713886];[-0.12757731];[0.01499892];[-0.13452288];[0.00534997];0.08028169;0;449035694661200
10;[0.09367617];[-0.10202299];[0.0152611];[0.09873817];[0.02832408];0.07233146;0;[0.0796658];[-0.11975401];[0.00748129];[-0.02269974];[0.00586365];0.059154929999999994;0;449035760967500
11;[0.077742];[-0.17011606];[0.04575447];[-0.11218598];[-0.05589577];0.06460674;0;[0.06387911];[-0.17368927];[0.02850865];[-0.16068272];[-0.06278851];0.052112679999999995;0;449035828071900
12;[0.06517745];[-0.18197905];[0.01191742];[-0.55967289];[-0.05206673];0.05758427;0;[0.05217921];[-0.17203135];[-0.00452782];[-0.48398993];[-0.05030548];0.04507042;0;449035894853000
13;[0.05598506];[-0.15270634];[-0.02320862];[-0.25449158];[-0.02227796];0.049859549999999996;0;[0.04361328];[-0.13905776];[-0.03192154];[-0.1660699];[-0.02246087];0.03802817;0;449035962393400
14;[0.04857632];[-0.11854267];[-0.03129946];[0.0645];[-0.00505481];0.043539329999999994;0;[0.03691642];[-0.10460745];[-0.03538708];[0.09881885];[-0.00673164];0.03098592;0;449036030274200
15;[0.04269869];[-0.09078252];[-0.02541663];[0.16454983];[0.00242292];0.030898880000000004;0;[0.03084037];[-0.08426279];[-0.02512017];[0.15258306];[-0.00708991];0.01971831;0;449036095970300
16;[0.03322958];[-0.10542954];[-0.00335727];[0.063111];[-0.03253198];0.025280900000000002;0;[0.02195816];[-0.09751451];[-0.00701101];[0.0139244];[-0.03739577];0.014788730000000002;0;449036163281800
17;[0.02572024];[-0.10233867];[-0.01086417];[-0.17624211];[-0.03187925];0.02036517;0;[0.01515311];[-0.09193771];[-0.01576636];[-0.17690622];[-0.03383862];0.01056338;0;449036230692200
18;[0.01995846];[-0.08541907];[-0.02177959];[-0.08796716];[-0.0205423];0.011938200000000001;0;[0.01015012];[-0.07340456];[-0.02569441];[-0.0718154];[-0.02130801];0.00211268;0;449036298413600
19;[0.01298914];[-0.0837017];[-0.01735724];[-0.02133034];[-0.03114921];0.00912921;0;[0.00348302];[-0.07457938];[-0.01854342];[-0.01583172];[-0.03527292];-0.00140845;0;449036365574700
20;[0.00864261];[-0.06493632];[-0.0246123];[-0.05717947];[-0.01806097];0.00632022;0;[-0.001278];[-0.06288543];[-0.02391791];[-0.0934812];[-0.02842026];-0.00422535;0;449036431767600
21;[0.0057476];[-0.04402567];[-0.02553571];[0.05798239];[-0.00746671];0.00280899;0;[-0.00451011];[-0.04487674];[-0.02771408];[-0.00853307];[-0.01803543];-0.00704225;0;449036499417700
